Target,Type,RA,DEC,RA/DEC citation,Redshift,log10_dist,z citation,log10_Mc,log10_Mc_sigma,q,Mass UL,mass citation,log10_freq,freq citation,extra metadata
SDSS_J165136.76+434741.3,,16h51m36.80s,+43d47m41.9s,,,3.665327657,,,,,,,-8.220493027,,
SDSS_J155647.78+181531.5,,15h56m47.80s,+18d15m32.1s,,,3.64733406,,,,,,,-8.09124195,,
SDSS_J084146.19+503601.1,,08h41m46.30s,+50d36m00.5s,,,3.319876067,,,,,,,-8.165427148,,
SDSS_J080237.60+340446.3,,08h02m37.60s,+34d04m46.6s,,,3.560707477,,,,,,,-8.09124195,,
SDSS_J113050.21+261211.4,,11h30m50.20s,+26d12m11.8s,,,3.528968093,,,,,,,-8.273573469,,
SDSS_J080648.65+184037.0,,08h06m48.60,+18d40m37.3s,,,3.426153268,,,,,,,-7.886878597,,
UM_211,,00h12m10.90s,-01d22m07.6s,,,3.721810615,,,,,,,-8.212055431,,
SDSS_J102255.21+172155.7,,10h22m55.20s,+17d21m56.0s,,,3.544328543,,,,,,,-8.15818874,,
SDSS_J121018.34+015405.9,,12h10m18.30s,+01d5m06.2s,,,2.947237608,,,,,,,-8.14387878,,
SDSS_J082121.88+250817.5,,08h21m22.00s,+25d08m16.2s,,,3.710159692,,,,,,,-8.212055431,,
RX_J024252.3-232633,,02h42m51.90s,-23d26m34.0s,,,3.393890939,,,,,,,-8.196107621,,
SDSS_J125414.23+131348.1,,12h54m14.20s,+13d13m48.4s,,,3.380482591,,,,,,,-8.180543332,,
SDSS_J081617.73+293639.6,,08h16m17.80s,+29d36m40.7s,,,3.436734966,,,,,,,-8.001719871,,
SDSS_J152157.02+181018.6,,15h21m57.00s,+18d10m19.2s,,,3.419493135,,,,,,,-8.228769814,,
SDSS_J093819.25+361858.7,,09h38m19.30s,+36d18m58.9s,,,3.677223583,,,,,,,-8.038604268,,
SDSS_J092911.35+203708.5,,09h29m11.30s,+20d37m09.2s,,,3.701973598,,,,,,,-8.188151963,,
SDSS_J155449.11+084204.8,,15h54m49.10s,+08d42m05.4s,,,3.444747222,,,,,,,-8.130194772,,
QNZ3:54,,15h18m06.60s,+01d31m34.9s,,,3.627928845,,,,,,,-8.173051004,,
SDSS_J142301.96+101500.1,,14h23m02.00s,+10d15m00.0s,,,3.541329578,,,,,,,-8.027828902,,
SDSS_J143621.29+072720.8,,14h36m21.30s,+07d27m21.1s,,,3.48654382,,,,,,,-8.212055431,,
SDSS_J104758.34+284555.8,,10h47m58.30s,+28d45m56.2s,,,3.447375124,,,,,,,-8.203920161,,
SDSS_J113916.47+254412.6,,11h39m16.40s,+25d44m13.0s,,,3.528968093,,,,,,,-8.323725543,,
SDSS_J143820.60+055447.9,,14h38m20.60s,+05d54m48.1s,,,3.357057754,,,,,,,-8.203920161,,
SDSS_J221016.97+122213.9,,22h10m17.00s,+12d22m14.0s,,,3.412695692,,,,,,,-8.061343892,,
SDSS_J115141.81+142156.6,,11h51m41.80s,+14d21m57.0s,,,3.525770186,,,,,,,-8.110282566,,
SDSS_J132103.41+123748.2,,13h21m03.40s,+12d37m48.1s,,,3.397557661,,,,,,,-8.123470078,,
SDSS_J082716.85+490534.0,,08h27m16.90s,+49d05m34.9s,,,3.394941737,,,,,,,-8.14387878,,
BZQJ0842+4525,,08h42m15.30s,+45d25m45.0s,,,3.629144456,,,,,,,-8.212055431,,
KUV_09484+3557,,09h51m23.90s,+35d42m49.2s,,,3.193013227,,,,,,,-8.001719871,,
PKS_0157+011,,02h00m03.90s,+01d25m12.6s,,,3.57443642,,,,,,,-7.958529482,,
SDSS_J081133.43+065558.1,,08h11m33.40s,+06d55m58.3s,,,3.598199377,,,,,,,-8.137090669,,
